logdate,url,ip,city,state,country,category,age,gender
02-03-2012,http://www.acme.com/SH55126545/VD55173061,174.130.201.19,newark,OH,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,68.118.76.228,newport,OR,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,173.218.73.91,ozark,MO,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,72.67.103.175,temecula,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,72.67.103.175,temecula,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,72.67.103.175,temecula,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,72.67.103.175,temecula,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,72.67.103.175,temecula,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55149415,72.67.103.175,temecula,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,199.184.238.216,azusa,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,75.108.10.94,clovis,NM,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,67.158.32.227,spearfish,SD,usa,handbags,31.0,U
02-03-2012,http://www.acme.com/SH559040/VD55175948,67.158.32.227,spearfish,SD,usa,handbags,31.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55173061,74.64.30.135,flushing,NY,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55173061,74.64.30.135,flushing,NY,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,67.164.59.96,san rafael,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55170364,97.117.45.31,salt lake city,UT,usa,home&garden,34.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55163347,108.0.107.56,manhattan beach,CA,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,67.158.32.227,spearfish,SD,usa,handbags,31.0,U
02-03-2012,http://www.acme.com/SH55126545/VD55149415,72.67.103.175,temecula,CA,usa,movies,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,68.118.76.228,newport,OR,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55163347,68.118.76.228,newport,OR,usa,games,0.0,0
02-03-2012,http://www.acme.com/SH559040/VD55175948,108.91.156.149,lincoln,CA,usa,handbags,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,70.138.59.178,houston,TX,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,70.138.59.178,houston,TX,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,76.118.172.197,bedford,NH,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,76.118.172.197,bedford,NH,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,76.118.172.197,bedford,NH,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,76.118.172.197,bedford,NH,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH5580165/VD55173281,76.118.172.197,bedford,NH,usa,tools,0.0,0
02-03-2012,http://www.acme.com/SH55126545/VD55166807,67.52.140.5,ft mitchell,AL,usa,computers,53.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55166807,67.52.140.5,ft mitchell,AL,usa,computers,53.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55166807,67.52.140.5,ft mitchell,AL,usa,computers,53.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55165149,67.52.140.5,ft mitchell,AL,usa,electronics,53.0,M
02-03-2012,http://www.acme.com/SH55126545/VD55165149,67.52.140.5,ft mitchell,AL,usa,electronics,53.0,M
